name,mainCategory,subCategory,image,link,ratings,noOfRatings,discountPrice,actualPrice,category
Amul Taaza Fresh Toned Milk 500ml,grocery & gourmet foods,All Grocery,https://images.unsplash.com/photo-1550583724-b2692b85b150?w=400,https://www.amazon.in/dp/B0000001,4.5,12450,26,27,milk
Mother Dairy Toned Milk 1L,grocery & gourmet foods,All Grocery,https://images.unsplash.com/photo-1550583724-b2692b85b150?w=400,https://www.amazon.in/dp/B0000002,4.4,8920,52,54,milk
Amul Gold Full Cream Milk 1L,grocery & gourmet foods,All Grocery,https://images.unsplash.com/photo-1550583724-b2692b85b150?w=400,https://www.amazon.in/dp/B0000003,4.6,9840,64,66,milk
Nandini Toned Milk 500ml,grocery & gourmet foods,All Grocery,https://images.unsplash.com/photo-1550583724-b2692b85b150?w=400,https://www.amazon.in/dp/B0000004,4.3,3410,24,25,milk
Mother Dairy Full Cream Milk 500ml,grocery & gourmet foods,All Grocery,https://images.unsplash.com/photo-1550583724-b2692b85b150?w=400,https://www.amazon.in/dp/B0000005,4.5,4120,32,33,milk
Country Delight Cow Milk 1L,grocery & gourmet foods,All Grocery,https://images.unsplash.com/photo-1550583724-b2692b85b150?w=400,https://www.amazon.in/dp/B0000006,4.7,5620,78,80,milk
Nestle a2 Milk 1L,grocery & gourmet foods,All Grocery,https://images.unsplash.com/photo-1550583724-b2692b85b150?w=400,https://www.amazon.in/dp/B0000007,4.4,1150,95,99,milk
Britannia Cow Milk 1L,grocery & gourmet foods,All Grocery,https://images.unsplash.com/photo-1550583724-b2692b85b150?w=400,https://www.amazon.in/dp/B0000008,4.2,2100,72,75,milk
Akshayakalpa Organic Cow Milk 1L,grocery & gourmet foods,All Grocery,https://images.unsplash.com/photo-1550583724-b2692b85b150?w=400,https://www.amazon.in/dp/B0000009,4.6,1890,85,90,milk
Heritage Toned Milk 500ml,grocery & gourmet foods,All Grocery,https://images.unsplash.com/photo-1550583724-b2692b85b150?w=400,https://www.amazon.in/dp/B0000010,4.1,890,25,26,milk
Cavin's UHT Double Toned Milk 1L,grocery & gourmet foods,All Grocery,https://images.unsplash.com/photo-1550583724-b2692b85b150?w=400,https://www.amazon.in/dp/B0000011,4.3,1320,68,70,milk
Go Milk UHT Toned Milk 1L,grocery & gourmet foods,All Grocery,https://images.unsplash.com/photo-1550583724-b2692b85b150?w=400,https://www.amazon.in/dp/B0000012,4.2,950,65,68,milk
Fresho Potato 1kg,grocery & gourmet foods,All Grocery,https://images.unsplash.com/photo-1518977676601-b53f82aba655?w=400,https://www.amazon.in/dp/B0000013,4.3,14250,32,45,potato
Fresho Potato 2kg,grocery & gourmet foods,All Grocery,https://images.unsplash.com/photo-1518977676601-b53f82aba655?w=400,https://www.amazon.in/dp/B0000014,4.2,8650,60,85,potato
Organic Potato 1kg,grocery & gourmet foods,All Grocery,https://images.unsplash.com/photo-1518977676601-b53f82aba655?w=400,https://www.amazon.in/dp/B0000015,4.4,2130,48,60,potato
Baby Potato 500g,grocery & gourmet foods,All Grocery,https://images.unsplash.com/photo-1518977676601-b53f82aba655?w=400,https://www.amazon.in/dp/B0000016,4.1,4320,24,35,potato
