name,mainCategory,subCategory,image,link,ratings,noOfRatings,discountPrice,actualPrice,category
Amul Taaza Fresh Toned Milk 500ml,grocery & gourmet foods,All Grocery,https://www.bbassets.com/media/uploads/p/l/40090894_7-amul-taaza.jpg,https://www.amazon.in/dp/B0000001,4.5,12450,26,27,milk
Mother Dairy Toned Milk 1L,grocery & gourmet foods,All Grocery,https://milkkart.in/wp-content/uploads/2025/01/mother-dairy-toned-milk-1-l-pouch-product-images-o491614849-p590049243-0-202203170616.webp,https://www.amazon.in/dp/B0000002,4.4,8920,52,54,milk
Amul Gold Full Cream Milk 1L,grocery & gourmet foods,All Grocery,https://m.media-amazon.com/images/I/813FcX3UOSL._SX569_.jpg,https://www.amazon.in/dp/B0000003,4.6,9840,64,66,milk
Nandini Toned Milk 500ml,grocery & gourmet foods,All Grocery,https://bhoomifresh.com/image/cache/catalog/Milk%20and%20Dairy%20Product/nandini%20pasteurised%20toned%20milk%20500ml-1100x1100.png,https://www.amazon.in/dp/B0000004,4.3,3410,24,25,milk
Mother Dairy Full Cream Milk 500ml,grocery & gourmet foods,All Grocery,https://www.bbassets.com/media/uploads/p/l/40147028_6-mother-dairy-full-cream-milk.jpg,https://www.amazon.in/dp/B0000005,4.5,4120,32,33,milk
Country Delight Cow Milk 1L,grocery & gourmet foods,All Grocery,https://encrypted-tbn3.gstatic.com/shopping?q=tbn:ANd9GcSoo60AOgNXUFKu4peJd2z0tY66GDKU544B0L8pOKIlwzzFKP_v0HLkWW1BHByN_UDQjqAWCcjgRWnn9lIatko9e4aZ8Pswg1kTu_paN6w21FHppqa8P0EE,https://www.amazon.in/dp/B0000006,4.7,5620,78,80,milk
Nestle a2 Milk 1L,grocery & gourmet foods,All Grocery,https://www.bbassets.com/media/uploads/p/l/100011680_12-nestle-a-nourish-toned-milk.jpg,https://www.amazon.in/dp/B0000007,4.4,1150,95,99,milk
Britannia Cow Milk 1L,grocery & gourmet foods,All Grocery,https://rukminim2.flixcart.com/image/1536/1536/kah413k0/milk/e/n/e/1000-tetrapack-toned-britannia-original-imafsfhmuw99uywk.jpeg?q=90,https://www.amazon.in/dp/B0000008,4.2,2100,72,75,milk
Akshayakalpa Organic Cow Milk 1L,grocery & gourmet foods,All Grocery,https://m.media-amazon.com/images/I/41MUlLuuybL._SY300_SX300_QL70_FMwebp_.jpg,https://www.amazon.in/dp/B0000009,4.6,1890,85,90,milk
Heritage Toned Milk 500ml,grocery & gourmet foods,All Grocery,https://external-content.duckduckgo.com/iu/?u=https%3A%2F%2Fm.media-amazon.com%2Fimages%2FI%2F815V9EawbJL._SX679_.jpg&f=1&nofb=1&ipt=99f38843c4b805f767cda798eefdbc8a166ce48df86752dac55e208abd1ce869,https://www.amazon.in/dp/B0000010,4.1,890,25,26,milk
Cavin's UHT Double Toned Milk 1L,grocery & gourmet foods,All Grocery,https://m.media-amazon.com/images/I/71MuS6obDqL._SX569_.jpg,https://www.amazon.in/dp/B0000011,4.3,1320,68,70,milk
Go Milk UHT Toned Milk 1L,grocery & gourmet foods,All Grocery,https://m.media-amazon.com/images/I/41IdBK3z2kL._SY300_SX300_QL70_FMwebp_.jpg,https://www.amazon.in/dp/B0000012,4.2,950,65,68,milk
Fresho Onion 1kg,grocery & gourmet foods,All Grocery,https://d91ztqmtx7u1k.cloudfront.net/ClientContent/Images/ExtraLarge/50-kg-fresh-red-onion-onion-s-20260313185349285.webp,https://www.amazon.in/dp/B0000023,4.1,16800,42,55,onion
Fresho Onion 2kg,grocery & gourmet foods,All Grocery,https://d91ztqmtx7u1k.cloudfront.net/ClientContent/Images/ExtraLarge/50-kg-fresh-red-onion-onion-s-20260313185349285.webp,https://www.amazon.in/dp/B0000024,4.0,9840,80,105,onion
Organic Onion 1kg,grocery & gourmet foods,All Grocery,https://d91ztqmtx7u1k.cloudfront.net/ClientContent/Images/ExtraLarge/50-kg-fresh-red-onion-onion-s-20260313185349285.webp,https://www.amazon.in/dp/B0000025,4.3,2540,56,70,onion
