name,mainCategory,subCategory,image,link,ratings,noOfRatings,discountPrice,actualPrice,category,matched_bb_product,match_score
Amul Taaza Fresh Toned Milk 500ml,grocery & gourmet foods,All Grocery,https://www.bigbasket.com/media/uploads/p/l/40155037_7-again-milk-drink-strawberry-chocolate-jaggery.jpg,https://www.amazon.in/dp/B0000001,4.5,12450,26,27,milk,"Milk Drink - Strawberry, Chocolate, Jaggery, Double Toned, Low Fat",320.0
Mother Dairy Toned Milk 1L,grocery & gourmet foods,All Grocery,https://www.bigbasket.com/media/uploads/p/l/1212499_1-cadbury-dairy-milk-chocolate-home-treats-pack.jpg,https://www.amazon.in/dp/B0000002,4.4,8920,52,54,milk,Chocolate Home - Treats Pack,320.0
Amul Gold Full Cream Milk 1L,grocery & gourmet foods,All Grocery,https://www.bigbasket.com/media/uploads/p/l/1212499_1-cadbury-dairy-milk-chocolate-home-treats-pack.jpg,https://www.amazon.in/dp/B0000003,4.6,9840,64,66,milk,Chocolate Home - Treats Pack,210.0
Nandini Toned Milk 500ml,grocery & gourmet foods,All Grocery,https://www.bigbasket.com/media/uploads/p/l/40155037_7-again-milk-drink-strawberry-chocolate-jaggery.jpg,https://www.amazon.in/dp/B0000004,4.3,3410,24,25,milk,"Milk Drink - Strawberry, Chocolate, Jaggery, Double Toned, Low Fat",320.0
Mother Dairy Full Cream Milk 500ml,grocery & gourmet foods,All Grocery,https://www.bigbasket.com/media/uploads/p/l/1212499_1-cadbury-dairy-milk-chocolate-home-treats-pack.jpg,https://www.amazon.in/dp/B0000005,4.5,4120,32,33,milk,Chocolate Home - Treats Pack,320.0
Country Delight Cow Milk 1L,grocery & gourmet foods,All Grocery,https://www.bigbasket.com/media/uploads/p/l/40234117_1-delight-nuts-choco-spread-milk.jpg,https://www.amazon.in/dp/B0000006,4.7,5620,78,80,milk,Choco Spread - Milk,320.0
Nestle a2 Milk 1L,grocery & gourmet foods,All Grocery,https://www.bigbasket.com/media/uploads/p/l/1212499_1-cadbury-dairy-milk-chocolate-home-treats-pack.jpg,https://www.amazon.in/dp/B0000007,4.4,1150,95,99,milk,Chocolate Home - Treats Pack,210.0
Britannia Cow Milk 1L,grocery & gourmet foods,All Grocery,https://www.bigbasket.com/media/uploads/p/l/1212499_1-cadbury-dairy-milk-chocolate-home-treats-pack.jpg,https://www.amazon.in/dp/B0000008,4.2,2100,72,75,milk,Chocolate Home - Treats Pack,210.0
Akshayakalpa Organic Cow Milk 1L,grocery & gourmet foods,All Grocery,https://www.bigbasket.com/media/uploads/p/l/1215053_1-bb-combo-bb-royal-organic-kashmir-honey-500-g-id-fresho-idly-dosa-batter-1-kg.jpg,https://www.amazon.in/dp/B0000009,4.6,1890,85,90,milk,"BB Royal Organic  Kashmir Honey, 500 g + iD Fresho Idly Dosa Batter, 1 Kg",210.0
Heritage Toned Milk 500ml,grocery & gourmet foods,All Grocery,https://www.bigbasket.com/media/uploads/p/l/40155037_7-again-milk-drink-strawberry-chocolate-jaggery.jpg,https://www.amazon.in/dp/B0000010,4.1,890,25,26,milk,"Milk Drink - Strawberry, Chocolate, Jaggery, Double Toned, Low Fat",320.0
Cavin's UHT Double Toned Milk 1L,grocery & gourmet foods,All Grocery,https://www.bigbasket.com/media/uploads/p/l/40155037_7-again-milk-drink-strawberry-chocolate-jaggery.jpg,https://www.amazon.in/dp/B0000011,4.3,1320,68,70,milk,"Milk Drink - Strawberry, Chocolate, Jaggery, Double Toned, Low Fat",380.0
Go Milk UHT Toned Milk 1L,grocery & gourmet foods,All Grocery,https://www.bigbasket.com/media/uploads/p/l/40155037_7-again-milk-drink-strawberry-chocolate-jaggery.jpg,https://www.amazon.in/dp/B0000012,4.2,950,65,68,milk,"Milk Drink - Strawberry, Chocolate, Jaggery, Double Toned, Low Fat",320.0
Fresho Potato 1kg,grocery & gourmet foods,All Grocery,https://www.bigbasket.com/media/uploads/p/l/1208825_3-id-fresho-idly-dosa-batter.jpg,https://www.amazon.in/dp/B0000013,4.3,14250,32,45,potato,Idly Dosa Batter,210.0
Fresho Potato 2kg,grocery & gourmet foods,All Grocery,https://www.bigbasket.com/media/uploads/p/l/1208825_3-id-fresho-idly-dosa-batter.jpg,https://www.amazon.in/dp/B0000014,4.2,8650,60,85,potato,Idly Dosa Batter,210.0
Organic Potato 1kg,grocery & gourmet foods,All Grocery,https://www.bigbasket.com/media/uploads/p/l/1215053_1-bb-combo-bb-royal-organic-kashmir-honey-500-g-id-fresho-idly-dosa-batter-1-kg.jpg,https://www.amazon.in/dp/B0000015,4.4,2130,48,60,potato,"BB Royal Organic  Kashmir Honey, 500 g + iD Fresho Idly Dosa Batter, 1 Kg",210.0
Baby Potato 500g,grocery & gourmet foods,All Grocery,https://www.bigbasket.com/media/uploads/p/l/1202071_1-bb-royal-almondbadam-californian-500g-cashewkaju-whole-500g.jpg,https://www.amazon.in/dp/B0000016,4.1,4320,24,35,potato,Almond/Badam Californian 500g + Cashew/Kaju Whole 500g,210.0
Safal Frozen Potato French Fries 750g,grocery & gourmet foods,All Grocery,https://www.bigbasket.com/media/uploads/p/l/40004569_3-sumeru-masala-french-fries-chilli-garlic.jpg,https://www.amazon.in/dp/B0000017,4.5,6510,120,140,potato,Masala French Fries - Chilli Garlic,320.0
Fresho Jyoti Potato 1kg,grocery & gourmet foods,All Grocery,https://www.bigbasket.com/media/uploads/p/l/1208825_3-id-fresho-idly-dosa-batter.jpg,https://www.amazon.in/dp/B0000018,4.2,3100,30,42,potato,Idly Dosa Batter,210.0
Ooty Potato 1kg,grocery & gourmet foods,All Grocery,https://www.bigbasket.com/media/uploads/p/l/254368_17-bingo-potato-chips-cream-onion.jpg,https://www.amazon.in/dp/B0000019,4.4,1850,55,70,potato,"Potato Chips - Cream & Onion, Crispy & Crunchy, Pack For Snacks",210.0
Sweet Potato 500g,grocery & gourmet foods,All Grocery,https://www.bigbasket.com/media/uploads/p/l/40232320_1-ego-sweet-potato-chips-mexican-twist-flavour-50-less-fat.jpg,https://www.amazon.in/dp/B0000020,4.0,2900,38,50,potato,"Sweet Potato Chips - Mexican Twist Flavour, 50% Less Fat",320.0
Organic Baby Potato 500g,grocery & gourmet foods,All Grocery,https://www.bigbasket.com/media/uploads/p/l/1220657_1-bb-combo-royal-organic-wild-honey500gindisecrets-organic-tea-infusion-pure-tulsi34g.jpg,https://www.amazon.in/dp/B0000021,4.3,950,32,40,potato,"Royal Organic Wild Honey,500g+IndiSecrets Organic Tea-Infusion, Pure Tulsi,34g",320.0
Fresh Crop Potato 5kg,grocery & gourmet foods,All Grocery,https://www.bigbasket.com/media/uploads/p/l/40251515_2-fresho-frozen-sweet-corn-preservative-free-fresh-juicy-kernels.jpg,https://www.amazon.in/dp/B0000022,4.3,3200,140,195,potato,"Frozen Sweet Corn - Preservative Free, Fresh & Juicy Kernels",210.0
Fresho Onion 1kg,grocery & gourmet foods,All Grocery,https://www.bigbasket.com/media/uploads/p/l/1208825_3-id-fresho-idly-dosa-batter.jpg,https://www.amazon.in/dp/B0000023,4.1,16800,42,55,onion,Idly Dosa Batter,210.0
Fresho Onion 2kg,grocery & gourmet foods,All Grocery,https://www.bigbasket.com/media/uploads/p/l/1208825_3-id-fresho-idly-dosa-batter.jpg,https://www.amazon.in/dp/B0000024,4.0,9840,80,105,onion,Idly Dosa Batter,210.0
