name,mainCategory,subCategory,image,link,ratings,noOfRatings,discountPrice,actualPrice,category
Durex Extra Time Condoms 10s,Lifestyle & Essentials,Sexual Wellness,https://www.bigbasket.com/media/uploads/p/l/10001-durex-xtra.jpg,https://blinkit.com/prn/durex-xtra/10001,4.5,12450,230,250,condoms
Durex Mutual Climax Condoms 10s,Lifestyle & Essentials,Sexual Wellness,https://cdn.zeptonow.com/production/inventory/10002-durex-mut.jpg,https://www.zeptonow.com/pn/durex-mut/10002,4.6,8940,280,300,condoms
Durex Invisible Ultra Thin Condoms 10s,Lifestyle & Essentials,Sexual Wellness,https://www.bigbasket.com/media/uploads/p/l/10003-durex-inv.jpg,https://blinkit.com/prn/durex-inv/10003,4.4,5600,350,400,condoms
Skore Not Out Condoms 10s,Lifestyle & Essentials,Sexual Wellness,https://cdn.zeptonow.com/production/inventory/10004-skore-not.jpg,https://www.zeptonow.com/pn/skore-not/10004,4.2,3450,110,120,condoms
Skore Advanced Condoms 10s,Lifestyle & Essentials,Sexual Wellness,https://www.bigbasket.com/media/uploads/p/l/10005-skore-adv.jpg,https://blinkit.com/prn/skore-adv/10005,4.3,2100,105,115,condoms
Manforce Strawberry Flavoured Condoms 10s,Lifestyle & Essentials,Sexual Wellness,https://cdn.zeptonow.com/production/inventory/10006-manforce-str.jpg,https://www.zeptonow.com/pn/manforce-str/10006,4.1,14500,85,90,condoms
Manforce Chocolate Flavoured Condoms 10s,Lifestyle & Essentials,Sexual Wellness,https://www.bigbasket.com/media/uploads/p/l/10007-manforce-cho.jpg,https://blinkit.com/prn/manforce-cho/10007,4.0,12000,85,90,condoms
KamaSutra Skyn Original Condoms 10s,Lifestyle & Essentials,Sexual Wellness,https://cdn.zeptonow.com/production/inventory/10008-ks-skyn.jpg,https://www.zeptonow.com/pn/ks-skyn/10008,4.5,4300,150,180,condoms
KamaSutra Orgasmax Condoms 10s,Lifestyle & Essentials,Sexual Wellness,https://www.bigbasket.com/media/uploads/p/l/10009-ks-org.jpg,https://blinkit.com/prn/ks-org/10009,4.2,3100,140,160,condoms
Playgard Super Dotted Condoms 10s,Lifestyle & Essentials,Sexual Wellness,https://cdn.zeptonow.com/production/inventory/10010-playgard-dot.jpg,https://www.zeptonow.com/pn/playgard-dot/10010,4.1,2800,95,100,condoms
Durex Play Massage Lube Aloe Vera 200ml,Lifestyle & Essentials,Sexual Wellness,https://www.bigbasket.com/media/uploads/p/l/10011-durex-aloe.jpg,https://blinkit.com/prn/durex-aloe/10011,4.6,8900,450,500,lubricant
Durex Play Tingle Lubricant Gel 50ml,Lifestyle & Essentials,Sexual Wellness,https://cdn.zeptonow.com/production/inventory/10012-durex-tingle.jpg,https://www.zeptonow.com/pn/durex-tingle/10012,4.5,6700,280,300,lubricant
Durex Play Strawberry Lubricant 50ml,Lifestyle & Essentials,Sexual Wellness,https://www.bigbasket.com/media/uploads/p/l/10013-durex-straw.jpg,https://blinkit.com/prn/durex-straw/10013,4.4,7500,280,300,lubricant
Skore Cherry Lube 50ml,Lifestyle & Essentials,Sexual Wellness,https://cdn.zeptonow.com/production/inventory/10014-skore-cherry.jpg,https://www.zeptonow.com/pn/skore-cherry/10014,4.2,2100,150,180,lubricant
Skore Strawberry Lube 50ml,Lifestyle & Essentials,Sexual Wellness,https://www.bigbasket.com/media/uploads/p/l/10015-skore-straw.jpg,https://blinkit.com/prn/skore-straw/10015,4.3,1900,150,180,lubricant
KamaSutra Personal Lubricant Aloe 50ml,Lifestyle & Essentials,Sexual Wellness,https://cdn.zeptonow.com/production/inventory/10016-ks-aloe-lube.jpg,https://www.zeptonow.com/pn/ks-aloe-lube/10016,4.1,1200,190,220,lubricant
